sample_name,fastq_path,library
EwS_L14,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222701.fastq.gz,CALCULATE
EwS_L15,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222702.fastq.gz,CALCULATE
EwS_L16,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222703.fastq.gz,CALCULATE
EwS_L17,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222704.fastq.gz,CALCULATE
MSC_1,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222705.fastq.gz,CALCULATE
MSC_2,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222706.fastq.gz,CALCULATE
MSC_3,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222707.fastq.gz,CALCULATE
MSC_4,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222708.fastq.gz,CALCULATE
MSC_5,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222709.fastq.gz,CALCULATE
MSC_6,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222710.fastq.gz,CALCULATE
MSC_7,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222711.fastq.gz,CALCULATE
MSC_8,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222712.fastq.gz,CALCULATE
MSC_9,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222713.fastq.gz,CALCULATE
MSC_10,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222714.fastq.gz,CALCULATE
MSC_11,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222715.fastq.gz,CALCULATE
MSC_12,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222716.fastq.gz,CALCULATE
MSC_13,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222717.fastq.gz,CALCULATE
MSC_14,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222718.fastq.gz,CALCULATE
MSC_15,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222719.fastq.gz,CALCULATE
MSC_16,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222720.fastq.gz,CALCULATE
MSC_17,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222721.fastq.gz,CALCULATE
MSC_18,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222722.fastq.gz,CALCULATE
MSC_19,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222723.fastq.gz,CALCULATE
MSC_20,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222724.fastq.gz,CALCULATE
MSC_21,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222725.fastq.gz,CALCULATE
MSC_22,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222726.fastq.gz,CALCULATE
MSC_23,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222727.fastq.gz,CALCULATE
MSC_24,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222728.fastq.gz,CALCULATE
MSC_25,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222729.fastq.gz,CALCULATE
MSC_26,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222730.fastq.gz,CALCULATE
MSC_27,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222731.fastq.gz,CALCULATE
MSC_28,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222732.fastq.gz,CALCULATE
MSC_29,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222733.fastq.gz,CALCULATE
MSC_30,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222734.fastq.gz,CALCULATE
MSC_31,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222735.fastq.gz,CALCULATE
MSC_32,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222736.fastq.gz,CALCULATE
